filename,h2b_id,predicted_class_id,predicted_class_name,probability,maximum_radius,first_x_position,first_y_position
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,4,0,Immobile,0.9819,0.08052616029341066,2.2315303,3.0118108
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,8,2,Mobile,0.9999994,0.34200054377121947,2.0934558,3.2341799
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,14,2,Mobile,0.9999981,0.47921035957309005,1.243466,6.6485428
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,17,2,Mobile,0.9999999,0.5335959376742294,2.1546352,8.254861
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,18,2,Mobile,1.0,0.3386423939847607,1.3540969,6.5691895
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,19,0,Immobile,0.9779573,0.06471949917142467,1.4477821,10.182031
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,20,2,Mobile,0.9999999,0.2410591530671469,1.3247121,8.8104677
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,24,0,Immobile,0.94246036,0.054781317454493675,1.2004217,3.1385504
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,30,2,Mobile,0.9999999,0.24592263526324695,1.6491965,4.9211807
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,32,0,Immobile,0.8527243,0.09565324716814357,1.7354016,5.0288132
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,34,0,Immobile,0.9693803,0.08249856381180257,1.7072811,4.9910991
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,37,2,Mobile,0.9999988,0.3695220488523655,2.2292353,1.9085557
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,40,2,Mobile,0.9999999,0.3574186366514762,2.1534985,3.0796412
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,42,0,Immobile,0.9769374,0.11656403014828358,1.6639951,5.1685661
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,46,0,Immobile,0.98474276,0.09544731079108561,1.3522316,6.0767359
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,47,0,Immobile,0.9999881,0.10037444944750633,1.183198,5.9483267
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,48,0,Immobile,0.98600554,0.09437332750751201,1.1632364,5.9503872
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,49,0,Immobile,0.9999999,0.14321319735422453,1.2418561,5.9658966
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,51,0,Immobile,1.0,0.09922643467514128,1.3207747,5.9685965
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,52,0,Immobile,0.98755836,0.11874262867197324,1.3503328,6.056528
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,53,0,Immobile,0.99556845,0.1024379983776528,1.4553866,6.0324231
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,57,0,Immobile,0.9707093,0.08289322940777487,1.2986112,6.0450877
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,59,0,Immobile,0.9999963,0.09487436544915576,1.234894,6.0342392
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,60,0,Immobile,0.999966,0.2530566102401791,1.1113888,6.0014275
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,62,2,Mobile,0.76141256,0.12424987657461108,0.83187965,4.0798454
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,64,0,Immobile,0.9534145,0.14994644066495846,2.2334517,5.8781888
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,65,2,Mobile,0.99997485,0.16755188301123347,2.1252139,5.9725232
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,67,0,Immobile,0.7512125,0.13329706603957908,2.1396377,5.9214404
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,68,0,Immobile,0.9865262,0.0859652379298163,2.1809355,5.8692106
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,69,0,Immobile,0.9991819,0.08272544555606806,2.1003369,5.8797739
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,70,0,Immobile,0.99517894,0.0604674840919483,2.0018458,5.903478
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,71,2,Mobile,0.99998593,0.8352967766500244,1.6616584,9.112024
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,72,0,Immobile,0.9999889,0.19020873941194183,1.2967054,3.7888017
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,75,0,Immobile,0.91774905,0.02421345430953628,0.8243063,9.3670338
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,76,0,Immobile,0.94854516,0.07417403552645548,1.110888,5.9413201
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,77,0,Immobile,0.9976981,0.06949724381045608,1.1573039,6.1196582
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,83,0,Immobile,0.9999932,0.25495720313970366,1.5046583,8.570447
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,85,2,Mobile,0.99999845,0.7608997824197002,1.3037322,9.4165282
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,87,2,Mobile,0.99999857,0.25031138245315554,1.5929535,10.196085
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,89,2,Mobile,0.9999076,0.18947166016816572,0.90930417,7.5384891
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,92,0,Immobile,0.91072077,0.01710263478456081,0.85187957,9.3771616
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,94,2,Mobile,0.69239557,0.1555858862860167,0.86753648,9.30722
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,95,0,Immobile,0.97018707,0.05431470683150562,0.84083396,9.3780264
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,96,0,Immobile,0.9992059,0.0473069649600176,0.83342335,9.3222444
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,98,0,Immobile,0.9999999,0.10447537782516145,0.83027659,9.3481685
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,100,0,Immobile,0.9999993,0.0976151042352572,0.89766794,7.1767311
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,102,2,Mobile,0.9999999,0.2942496729015853,1.903575,1.6012789
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,103,2,Mobile,0.99822706,0.166841127446742,1.1854152,2.1193038
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,104,0,Immobile,0.9937577,0.07561980315036554,1.2480892,1.968052
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,105,0,Immobile,0.99999,0.21435618821384625,1.313002,2.026715
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,109,0,Immobile,1.0,0.06873455447890849,0.82698251,9.9444243
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,111,0,Immobile,0.9938589,0.041846178229917465,1.4759118,4.785801
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,115,0,Immobile,0.9843529,0.096339807644942,0.80644086,9.9262799
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,117,0,Immobile,0.99988234,0.11107745085234182,0.9101611,9.9210812
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,118,2,Mobile,0.9999989,0.624977880097824,1.4215186,5.6538512
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,119,0,Immobile,0.6166985,0.16205280570612413,0.83563371,9.7873507
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,120,0,Immobile,0.99999917,0.16007390545338532,0.90238925,9.7509604
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,122,0,Immobile,0.9619466,0.07936072715953649,0.82904635,9.8694497
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,123,2,Mobile,0.9999995,0.714498303876573,1.8224651,7.8307804
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,125,0,Immobile,0.8542719,0.008207871184417919,1.3118511,1.8661742
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,129,0,Immobile,0.9808709,0.08273740599390343,1.2264031,2.0073606
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,130,0,Immobile,0.9983789,0.033899471284519964,1.2768828,1.8754739
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,132,2,Mobile,0.9999999,0.2537125813738845,1.3049771,2.0271113
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,133,0,Immobile,0.9895523,0.10289268302588685,0.85391029,9.9730652
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,134,0,Immobile,0.9999908,0.06937946808999043,2.0264741,5.2380843
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,136,0,Immobile,0.9999925,0.20684931162428355,1.4122953,2.0293183
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,138,2,Mobile,0.8359245,0.14229281851607964,2.0973048,5.2564707
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,139,0,Immobile,0.97538775,0.031637936061386214,1.0194289,9.8775127
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,140,2,Mobile,0.9999999,0.2908605411335987,1.3010371,2.0169165
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,145,0,Immobile,0.99999464,0.09511472667436952,1.2782849,1.8919494
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,147,0,Immobile,0.9939904,0.10109343412289433,1.9624426,5.2513926
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,148,0,Immobile,0.99517894,0.06372380475907033,0.91666952,9.9214921
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,151,1,Hybrid,0.5535006,0.2000176847499741,1.2917464,1.9469973
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,154,0,Immobile,0.9619513,0.06372121967398327,2.028521,5.3184218
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,155,0,Immobile,0.99994016,0.11544542134711265,0.99124797,9.9529316
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,156,2,Mobile,0.99999964,0.18520831773883623,2.0528923,5.3853439
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,164,0,Immobile,0.99997354,0.08218404375558575,1.5418459,3.54476
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,165,2,Mobile,0.9830719,0.15472966859081144,0.81308728,9.6386598
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,167,0,Immobile,0.99999344,0.0911942188108983,1.4724883,3.4398606
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,168,0,Immobile,1.0,0.12423082968430196,0.96101932,9.7423381
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,169,0,Immobile,0.9999989,0.11463193254660747,1.4380753,3.432188
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,173,0,Immobile,0.9251452,0.11433071048525197,0.95064695,9.7857026
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,174,0,Immobile,1.0,0.1771238790709486,1.4260651,3.5402879
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,179,2,Mobile,0.99999917,0.4292563590993148,1.5933995,2.955009
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,185,0,Immobile,0.8542719,0.013057316599132918,1.0146524,9.7548552
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,186,0,Immobile,1.0,0.1791057248506872,1.1855173,2.0267192
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,187,0,Immobile,0.9998294,0.10328956973145385,0.93422691,9.836112
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,192,0,Immobile,0.9999993,0.15692903782592346,1.5968465,3.7794733
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,193,2,Mobile,0.65648174,0.7338481747000872,1.6141166,3.8790604
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,195,1,Hybrid,1.0,0.711515884303063,1.6707249,3.842168
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,196,0,Immobile,1.0,0.11352039453041017,1.6826824,3.9784267
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,197,0,Immobile,0.9995493,0.14387186567227134,1.6539947,3.9624963
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,198,0,Immobile,0.99999976,0.13822387897914035,1.6867729,3.9104081
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,199,0,Immobile,0.99999154,0.0774946049397636,1.6825682,3.8440296
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,200,0,Immobile,0.9999994,0.18693757910813422,1.6971446,3.8473507
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,201,0,Immobile,0.9999981,0.17556358727791482,1.6757851,3.8941984
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,202,0,Immobile,0.99997616,0.2326155232468681,0.85440919,7.0546367
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,203,0,Immobile,0.99998295,0.24549816922606346,0.8674235,3.7530953
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,205,0,Immobile,0.99999976,0.16696938647428786,1.7392902,3.9499989
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,208,0,Immobile,0.82312745,0.09664706038659462,0.87350227,3.9441769
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,209,2,Mobile,0.9999924,0.4644927721969095,1.14977,8.7984698
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,213,0,Immobile,0.99997175,0.04597144624995499,0.82712953,7.0319177
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,214,0,Immobile,0.9980914,0.09234681578121674,1.6993493,3.8122004
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,215,0,Immobile,0.966655,0.07266573610655583,0.84048081,7.0613721
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,217,0,Immobile,0.99999833,0.15002815950910686,0.93780476,4.0665947
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,218,2,Mobile,0.9896293,0.14084662850608215,0.89446938,4.1400883
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,220,0,Immobile,0.91154414,0.06655815613202,0.929848,3.9768115
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,221,2,Mobile,0.99879116,0.14372560677005172,0.95045989,3.9761257
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,222,0,Immobile,0.99999356,0.08662064323169394,0.908501,4.0111079
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,223,0,Immobile,0.84373176,0.01400199503819384,0.83190121,3.9721094
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,227,0,Immobile,0.98323786,0.0319773064641177,0.81047324,4.0167539
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,229,0,Immobile,0.9116126,0.05726551603364774,0.93662019,4.0770114
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,233,0,Immobile,1.0,0.06714634109056153,1.0176935,4.7179028
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,234,2,Mobile,0.99978155,0.16765936770850015,0.98996181,4.6379516
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,236,0,Immobile,0.99972874,0.07602309737678449,1.0901957,4.73278
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,237,2,Mobile,0.9999974,0.19531829942847762,1.1307517,4.6812139
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,238,0,Immobile,0.9768337,0.06329633634973608,1.0617753,4.6701592
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,240,2,Mobile,0.97869986,0.14042951756713984,0.98141962,4.7047
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,241,0,Immobile,0.93162906,0.14616982473472526,0.95704581,4.7249034
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,243,0,Immobile,1.0,0.09688835525603746,0.9691829,4.6172491
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,244,0,Immobile,0.9925479,0.0361473611664822,0.88125893,4.7289867
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,245,0,Immobile,1.0,0.03165477467977909,0.81839112,3.1127523
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,246,0,Immobile,0.9999881,0.10285612464104456,0.81215714,4.6676516
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,247,0,Immobile,0.99969506,0.0738079780070884,0.80605151,3.0787506
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,248,2,Mobile,0.9896347,0.12706643971221868,0.92504481,4.7384542
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,250,2,Mobile,0.99999523,0.2671931386012989,0.97038471,4.6289335
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,251,0,Immobile,0.9917537,0.08173057238769349,0.93496117,4.7331244
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,253,2,Mobile,0.99068624,0.1606985652670266,0.98689557,4.8631018
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,256,2,Mobile,0.9706736,0.14411651484842405,0.85987672,4.680495
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,257,0,Immobile,0.9509313,0.05723660896924619,0.9990507,4.014667
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,258,2,Mobile,0.99967825,0.13379682776905638,0.95055619,4.0045139
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,268,0,Immobile,0.9999877,0.04251225228090815,0.95720211,4.1529837
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,270,0,Immobile,1.0,0.12586287191993584,0.97546879,4.2145432
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,272,0,Immobile,0.999918,0.09858277734548583,0.98576922,4.2501946
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,275,0,Immobile,0.94967645,0.13090864577416153,0.91141534,4.2439528
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,277,0,Immobile,0.94892466,0.10846158689044774,0.82366689,3.2639744
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,279,0,Immobile,0.9999838,0.06112317465170174,0.84951416,3.3803753
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,280,0,Immobile,0.9999999,0.13919104849418168,0.85747648,3.2677219
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,281,2,Mobile,0.9999944,0.17869331345847833,2.0087195,6.9792426
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,282,0,Immobile,0.99997914,0.26396092024239143,2.0683006,6.4122223
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,293,2,Mobile,0.5630177,0.0034453216352033343,1.9445221,4.7295837
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,295,0,Immobile,0.9995617,0.08936198249171759,2.0721547,4.7188503
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,296,0,Immobile,0.9999999,0.14931476541159613,1.9957632,4.7459323
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,299,0,Immobile,0.9981324,0.06939245023747156,2.11608,4.840125
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,300,0,Immobile,0.99999917,0.17956438932463742,2.0898389,4.810523
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,302,0,Immobile,0.99140376,0.019452625175281648,1.9282203,4.7107024
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,303,0,Immobile,0.9999933,0.20214654741560678,2.0791593,4.7227648
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,304,0,Immobile,0.9744703,0.05749614800749664,2.0374247,4.6495485
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,305,0,Immobile,0.99999595,0.029868208036304644,2.0280631,4.710818
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,306,2,Mobile,0.8932774,0.12568330496581437,2.0580562,4.8352253
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,308,0,Immobile,0.9998386,0.11496713914180036,2.050177,4.8059735
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,310,2,Mobile,0.6330311,0.2698721602552219,1.8945121,5.6600723
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,311,2,Mobile,1.0,0.37060920640404654,0.86754686,8.8783082
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,312,0,Immobile,0.9988908,0.28234667098149013,1.8979859,5.7047476
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,313,0,Immobile,0.9998789,0.09090791408282382,1.9647433,4.9867462
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,314,0,Immobile,0.98868257,0.11544900013780954,2.0057243,5.0088209
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,317,0,Immobile,0.99421567,0.22015025546612418,1.0543696,4.2080305
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,320,2,Mobile,0.99999917,0.2544332809410753,1.047057,3.9177113
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,322,2,Mobile,0.9999995,0.3441306500909793,1.9694159,3.3617219
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,324,2,Mobile,0.9999397,0.31890568886878695,1.0196834,4.0420385
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,326,2,Mobile,1.0,0.3081038094182309,0.9663053,4.0606976
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,328,2,Mobile,0.9999999,0.27452408825859853,0.96030743,4.2117638
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,329,2,Mobile,0.9999999,0.23953150564403858,2.0231845,7.9783189
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,332,2,Mobile,0.9999999,0.23615553817198537,2.0498638,7.7324347
no_Olaparib_Field3_1min_crop.mn_tracked - Copie.trxyt,333,2,Mobile,0.525791,0.1791834741879116,1.9486957,7.7507857
